Strain;number of contigs;total contigs length;mean contig size;contig size first quartile;median contig size;contig size third quartile;longest contig;shortest contig;contigs > 500 nt;contigs > 1K nt;contigs > 10K nt;contigs > 100K nt;contigs > 1M nt;N50;L50;N80;L80
Velvet_10;260;4047934;15568.98;1447;7881;22545;150626;317;226(86.92%);211(81.15%);118(45.38%);2(0.77%);0(0.00%);33902;36;16099;87
Velvet_11;1009;3817308;3783.26;997;2253;4928;29907;289;944(93.56%);754(74.73%);83(8.23%);0(0.00%);0(0.00%);6998;170;2999;422
Velvet_12;639;3996374;6254.11;1018;3093;8227;46924;285;579(90.61%);482(75.43%);124(19.41%);0(0.00%);0(0.00%);14637;85;5456;221
Velvet_13;255;3905239;15314.66;1621;8189;23214;102930;309;238(93.33%);209(81.96%);112(43.92%);1(0.39%);0(0.00%);30775;38;16223;87
Velvet_14;219;3987606;18208.25;1122;7507;27246;162178;309;186(84.93%);165(75.34%);97(44.29%);5(2.28%);0(0.00%);43564;27;21971;65
Velvet_15;205;4003496;19529.25;1789;9742;28192;139084;317;193(94.15%);172(83.90%);101(49.27%);2(0.98%);0(0.00%);47209;28;22729;68
Velvet_16;247;3921034;15874.63;1556;6311;23085;191777;321;228(92.31%);203(82.19%);101(40.89%);2(0.81%);0(0.00%);36946;31;16697;75
Velvet_17;215;4122674;19175.23;533;5785;28261;156023;317;165(76.74%);140(65.12%);90(41.86%);7(3.26%);0(0.00%);53774;24;26205;58
Velvet_18;191;4108631;21511.16;1365;10661;28257;162592;313;170(89.01%);148(77.49%);99(51.83%);7(3.66%);0(0.00%);52749;24;23830;60
Velvet_19;278;3831611;13782.77;1886;6650;22015;109365;313;260(93.53%);236(84.89%);114(41.01%);1(0.36%);0(0.00%);30582;41;14249;93
Velvet_1;280;3969003;14175.01;1354;6661;21257;88950;313;259(92.50%);226(80.71%);115(41.07%);0(0.00%);0(0.00%);30667;40;17080;92
Velvet_20;285;4013889;14083.82;1332;6408;22145;124982;305;258(90.53%);224(78.60%);111(38.95%);2(0.70%);0(0.00%);33204;37;13780;91
Velvet_21;181;4087084;22580.57;1907;8289;30427;140827;317;166(91.71%);148(81.77%);84(46.41%);7(3.87%);0(0.00%);64731;22;26648;54
Velvet_22;207;4105912;19835.32;1037;9346;26748;183537;313;180(86.96%);154(74.40%);99(47.83%);7(3.38%);0(0.00%);49682;25;21319;66
Velvet_23;380;4054340;10669.32;1115;3570;14798;117979;313;347(91.32%);294(77.37%);117(30.79%);2(0.53%);0(0.00%);26234;44;12004;109
Velvet_24;182;4032013;22153.92;1939;10047;34010;148796;313;163(89.56%);153(84.07%);91(50.00%);3(1.65%);0(0.00%);50693;28;24883;61
Velvet_25;1417;4110115;2900.58;438;1082;3791;41115;269;953(67.25%);731(51.59%);90(6.35%);0(0.00%);0(0.00%);6956;174;2929;444
Velvet_26;741;4000346;5398.58;1140;3125;7322;41320;309;697(94.06%);581(78.41%);124(16.73%);0(0.00%);0(0.00%);10289;118;4568;289
Velvet_27;2491;7745119;3109.24;725;1561;3575;50981;285;2170(87.11%);1607(64.51%);149(5.98%);0(0.00%);0(0.00%);6163;330;2295;948
Velvet_28;391;4035758;10321.63;1307;4898;13961;89742;317;363(92.84%);305(78.01%);130(33.25%);0(0.00%);0(0.00%);23794;53;9971;131
Velvet_29;542;4119669;7600.87;285;1838;9939;104836;285;362(66.79%);317(58.49%);134(24.72%);1(0.18%);0(0.00%);21795;57;9624;139
Velvet_2;410;4158852;10143.54;1096;3926;12871;124857;313;370(90.24%);312(76.10%);127(30.98%);2(0.49%);0(0.00%);25692;50;10651;124
